SeoCrossLinks,SeoCrossLinks
"New Link","New Link"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","This link no longer exists."
"You saved link.","You saved link."
"Something went wrong while saving the link.","Something went wrong while saving the link."
"Category Description","Category Description"
"Product Description","Product Description"
"CMS Page Content","CMS Page Content"
"Custom Page","Custom Page"
"Category Page","Category Page"
"Product Page","Product Page"
"Animation underline","Animation underline"
"Highlight background","Highlight background"
"Animation color and underline","Animation color and underline"
"Custom URL","Custom URL"
"Keyword to Search","Keyword to Search"
"Link Title","Link Title"
"Search In","Search In"
Style,Style
"Replacement Count","Replacement Count"
"Add New Link","Add New Link"
"Are you sure you want to delete selected menu's?","Are you sure you want to delete selected menu's?"
"Search in","Search in"
"Link Target","Link Target"
